,phase_1,phase_2,phase_3,phase_4,late_ratio,active_ratio
0,0.21764705882352942,0.34705882352941175,0.3058823529411765,0.041176470588235294,0.34705882352941175,1.0
1,0.0,0.0,0.0,0.0,0.0,1.0
2,0.2,0.2923076923076923,0.24,0.046153846153846156,0.28615384615384615,1.0
3,0.10957004160887657,0.36893203883495146,0.2621359223300971,0.019417475728155338,0.2815533980582524,1.0
4,0.13988095238095238,0.5372023809523809,0.22916666666666666,0.019345238095238096,0.24851190476190477,1.0
5,0.2,0.15,0.325,0.06666666666666667,0.39166666666666666,1.0
6,0.0,0.0,0.0,0.012195121951219513,0.012195121951219513,1.0
7,0.0,0.0,0.037037037037037035,0.0,0.037037037037037035,1.0
8,0.15384615384615385,0.34615384615384615,0.3131868131868132,0.054945054945054944,0.36813186813186816,1.0
9,0.13095238095238096,0.39880952380952384,0.24404761904761904,0.041666666666666664,0.2857142857142857,1.0
10,0.14823529411764705,0.35058823529411764,0.1952941176470588,0.03529411764705882,0.23058823529411765,1.0
11,0.15384615384615385,0.23076923076923078,0.5384615384615384,0.0,0.5384615384615384,1.0
12,0.13033175355450238,0.466824644549763,0.16587677725118483,0.014218009478672985,0.18009478672985782,1.0
13,0.12698412698412698,0.41798941798941797,0.20105820105820105,0.07936507936507936,0.2804232804232804,1.0
14,0.0,0.0,0.0,0.0,0.0,0.0
15,0.25,0.25,0.2,0.0,0.2,1.0
16,0.0,0.0,0.0,0.0,0.0,0.0
17,0.041884816753926704,0.2513089005235602,0.24083769633507854,0.07329842931937172,0.31413612565445026,1.0
18,0.0,0.0,0.0,0.0,0.0,1.0
19,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0
21,0.2222222222222222,0.4444444444444444,0.3333333333333333,0.0,0.3333333333333333,1.0
22,0.0,0.0,0.0,0.0,0.0,1.0
23,0.0,0.0,0.0,0.0,0.0,0.0
24,0.14285714285714285,0.14285714285714285,0.10714285714285714,0.0,0.10714285714285714,1.0
25,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.03125,0.0,0.03125,1.0
27,0.125,0.14583333333333334,0.2916666666666667,0.0,0.2916666666666667,1.0
28,0.16666666666666666,0.5416666666666666,0.2708333333333333,0.0,0.2708333333333333,1.0
29,0.0,0.0,0.0,0.0,0.0,0.0
30,0.1111111111111111,0.3333333333333333,0.16666666666666666,0.05555555555555555,0.2222222222222222,1.0
31,0.0,0.0,0.0,0.0,0.0,1.0
32,0.0,0.0,0.0,0.0,0.0,1.0
33,0.0,0.0,0.0,0.0,0.0,0.0
34,0.125,0.625,0.20833333333333334,0.020833333333333332,0.22916666666666666,1.0
35,0.2246376811594203,0.5652173913043478,0.15942028985507245,0.0,0.15942028985507245,1.0
36,0.0,0.0,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,0.02631578947368421,0.02631578947368421,1.0
38,0.0,0.5,0.3,0.1,0.4,1.0
39,0.36363636363636365,0.36363636363636365,0.2727272727272727,0.0,0.2727272727272727,1.0
40,0.0,0.0,0.0,0.0,0.0,0.0
41,0.0,0.0,0.0,0.0,0.0,1.0
42,0.0,0.0,0.5,0.1,0.6,1.0
43,0.0,0.1875,0.75,0.0625,0.8125,1.0
44,0.0,0.0,1.0,0.0,1.0,1.0
45,0.0,0.0,0.0,0.0,0.0,0.0
46,0.13043478260869565,0.17391304347826086,0.391304347826087,0.0,0.391304347826087,1.0
47,0.0,0.0,0.0,0.0,0.0,0.0
48,0.0,0.0,0.0,0.0,0.0,1.0
49,0.0,0.0,0.0,0.0,0.0,0.0
