phase_1,phase_2,phase_3,phase_4,late_ratio,active_ratio
0.0,0.0,1.0,0.0,1.0,1.0
0.2,0.2923076923076923,0.24,0.046153846153846156,0.28615384615384615,1.0
1.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.012195121951219513,0.012195121951219513,1.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.5714285714285714,0.2857142857142857,0.14285714285714285,0.42857142857142855,1.0
0.5,0.5,0.0,0.0,0.0,1.0
0.5,0.25,0.25,0.0,0.25,1.0
0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.07692307692307693,0.38461538461538464,0.38461538461538464,0.0,0.38461538461538464,1.0
0.0,0.0,1.0,0.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.16666666666666666,0.3333333333333333,0.5,0.0,0.5,1.0
0.25,0.25,0.2,0.0,0.2,1.0
0.0,1.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0
0.15384615384615385,0.34615384615384615,0.3131868131868132,0.054945054945054944,0.36813186813186816,1.0
0.2,0.2,0.6,0.0,0.6,1.0
0.0,1.0,0.0,0.0,0.0,1.0
0.0,0.0,1.0,0.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.5,0.0,0.0,0.0,1.0
0.0,0.5,0.3333333333333333,0.0,0.3333333333333333,1.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0
0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,1.0
0.0,0.0,1.0,0.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.4,0.0,0.6,0.0,0.6,1.0
0.3333333333333333,0.0,0.6666666666666666,0.0,0.6666666666666666,1.0
0.0,1.0,0.0,0.0,0.0,1.0
0.0,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0
0.10957004160887657,0.36893203883495146,0.2621359223300971,0.019417475728155338,0.2815533980582524,1.0
0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0
0.2857142857142857,0.5714285714285714,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0
0.125,0.14583333333333334,0.2916666666666667,0.0,0.2916666666666667,1.0
0.0,0.0,0.0,0.0,0.0,0.0
0.08,0.4,0.16,0.04,0.2,1.0
0.13033175355450238,0.466824644549763,0.16587677725118483,0.014218009478672985,0.18009478672985782,1.0
0.16666666666666666,0.5416666666666666,0.2708333333333333,0.0,0.2708333333333333,1.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.6,0.2,0.0,0.2,1.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.25,0.25,0.0,0.25,1.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,1.0
0.8888888888888888,0.1111111111111111,0.0,0.0,0.0,1.0
0.25,0.25,0.5,0.0,0.5,1.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.8,0.2,0.0,0.2,1.0
0.0,0.0,0.0,0.0,0.0,1.0
1.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0
0.09090909090909091,0.45454545454545453,0.45454545454545453,0.0,0.45454545454545453,1.0
0.0,1.0,0.0,0.0,0.0,1.0
0.6666666666666666,0.0,0.3333333333333333,0.0,0.3333333333333333,1.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.8333333333333334,0.16666666666666666,0.0,0.16666666666666666,1.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.03125,0.0,0.03125,1.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.625,0.25,0.125,0.0,0.125,1.0
0.0,0.0,0.0,0.0,0.0,1.0
0.2857142857142857,0.5714285714285714,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0
0.296875,0.515625,0.15625,0.015625,0.171875,1.0
0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.13095238095238096,0.39880952380952384,0.24404761904761904,0.041666666666666664,0.2857142857142857,1.0
0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.5,0.0,0.0,0.0,1.0
0.125,0.625,0.20833333333333334,0.020833333333333332,0.22916666666666666,1.0
0.0,0.25,0.75,0.0,0.75,1.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,1.0,1.0
0.3684210526315789,0.42105263157894735,0.15789473684210525,0.0,0.15789473684210525,1.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.6666666666666666,0.0,0.3333333333333333,0.0,0.3333333333333333,1.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.6,0.2,0.0,0.2,1.0
0.2246376811594203,0.5652173913043478,0.15942028985507245,0.0,0.15942028985507245,1.0
0.0,0.0,0.0,0.0,0.0,0.0
0.13043478260869565,0.17391304347826086,0.391304347826087,0.0,0.391304347826087,1.0
0.35294117647058826,0.5882352941176471,0.058823529411764705,0.0,0.058823529411764705,1.0
0.0,0.0,0.0,0.0,0.0,0.0
0.4,0.4,0.2,0.0,0.2,1.0
0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.037037037037037035,0.0,0.037037037037037035,1.0
1.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0
0.2553191489361702,0.40425531914893614,0.14893617021276595,0.0425531914893617,0.19148936170212766,1.0
0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0
0.3,0.4,0.1,0.0,0.1,1.0
0.6666666666666666,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,1.0
0.5,0.5,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.3333333333333333,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.21764705882352942,0.34705882352941175,0.3058823529411765,0.041176470588235294,0.34705882352941175,1.0
1.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.5,0.5,0.0,0.5,1.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.5,0.3,0.1,0.4,1.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.42857142857142855,0.14285714285714285,0.14285714285714285,0.2857142857142857,1.0
0.0,0.5,0.5,0.0,0.5,1.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.13988095238095238,0.5372023809523809,0.22916666666666666,0.019345238095238096,0.24851190476190477,1.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.2,0.2,0.0,0.2,1.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.1875,0.75,0.0625,0.8125,1.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.5,0.5,0.0,0.5,1.0
0.0,0.0,1.0,0.0,1.0,1.0
0.8,0.2,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0
0.14285714285714285,0.14285714285714285,0.10714285714285714,0.0,0.10714285714285714,1.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.19047619047619047,0.2857142857142857,0.09523809523809523,0.0,0.09523809523809523,1.0
0.2,0.15,0.325,0.06666666666666667,0.39166666666666666,1.0
0.0,0.0,0.0,0.0,0.0,0.0
0.6,0.0,0.4,0.0,0.4,1.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.5,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.5,0.5,0.0,0.5,1.0
0.0,0.0,0.0,0.0,0.0,1.0
0.5,0.5,0.0,0.0,0.0,1.0
0.14823529411764705,0.35058823529411764,0.1952941176470588,0.03529411764705882,0.23058823529411765,1.0
0.4,0.4,0.0,0.2,0.2,1.0
0.0,0.5,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.5,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0
0.3333333333333333,0.0,0.6666666666666666,0.0,0.6666666666666666,1.0
0.0,0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,1.0
0.75,0.25,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0
0.0,1.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0
0.14285714285714285,0.42857142857142855,0.0,0.0,0.0,1.0
0.19230769230769232,0.5769230769230769,0.23076923076923078,0.0,0.23076923076923078,1.0
0.12698412698412698,0.41798941798941797,0.20105820105820105,0.07936507936507936,0.2804232804232804,1.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.4,0.5,0.0,0.5,1.0
0.0,1.0,0.0,0.0,0.0,1.0
0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,1.0
0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.4,0.4,0.0,0.4,1.0
0.0,0.0,0.0,0.0,0.0,0.0
0.36363636363636365,0.36363636363636365,0.2727272727272727,0.0,0.2727272727272727,1.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.375,0.375,0.0,0.375,1.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.5,0.0,0.0,0.0,1.0
0.4,0.4,0.2,0.0,0.2,1.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.5,0.0,0.5,0.5,1.0
0.25,0.125,0.375,0.0,0.375,1.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.5,0.5,0.0,0.5,1.0
0.5,0.5,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,1.0,1.0
0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,1.0
0.041884816753926704,0.2513089005235602,0.24083769633507854,0.07329842931937172,0.31413612565445026,1.0
0.0,1.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.2222222222222222,0.4444444444444444,0.3333333333333333,0.0,0.3333333333333333,1.0
0.1111111111111111,0.1111111111111111,0.3333333333333333,0.1111111111111111,0.4444444444444444,1.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0
0.0,1.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,1.0
0.0,0.4,0.3,0.1,0.4,1.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.5,0.0,0.0,0.0,1.0
0.0,1.0,0.0,0.0,0.0,1.0
0.2,0.0,0.6,0.0,0.6,1.0
0.1111111111111111,0.3333333333333333,0.16666666666666666,0.05555555555555555,0.2222222222222222,1.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,1.0
0.0,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,1.0
0.3333333333333333,0.5,0.16666666666666666,0.0,0.16666666666666666,1.0
0.0,0.0,1.0,0.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,1.0,1.0
0.15384615384615385,0.23076923076923078,0.5384615384615384,0.0,0.5384615384615384,1.0
0.09523809523809523,0.8571428571428571,0.047619047619047616,0.0,0.047619047619047616,1.0
0.0,0.0,0.5,0.1,0.6,1.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,1.0
0.0,0.14285714285714285,0.8571428571428571,0.0,0.8571428571428571,1.0
0.42857142857142855,0.5714285714285714,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.02631578947368421,0.02631578947368421,1.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
